iter	RMSE
0	496361.5011
1	468099.2267
2	437876.6817
3	411908.474
4	389288.9988
5	368487.0036
6	349332.4295
7	331649.1269
8	314994.6336
9	300705.5887
10	288316.0041
11	275670.4922
12	263525.095
13	252124.1921
14	243616.5108
15	235785.1378
16	229379.44
17	223496.4818
18	216295.5693
19	209767.3142
20	204597.6597
21	200121.101
22	196372.6251
23	192586.3025
24	190056.0995
25	186815.2151
26	185076.6936
27	184149.7405
28	182486.0459
29	181305.7719
30	178634.5342
31	176713.9742
32	174308.0245
33	173692.3067
34	171542.3616
35	171096.4571
36	170538.4114
37	168791.1383
38	166576.7117
39	165420.6667
40	163357.8527
41	162418.4189
42	160645.6448
43	160090.95
44	158375.9351
45	158004.5076
46	157691.5252
47	156984.798
48	155178.7369
49	153933.6175
50	152059.9759
51	151739.5196
52	150720.7032
53	150274.8757
54	149103.8069
55	147424.7416
56	146763.7477
57	145669.0999
58	144862.7392
59	144645.4523
60	144093.3547
61	143136.7228
62	142929.143
63	142530.017
64	141500.1317
65	141119.6194
66	140593.7331
67	139455.1051
68	138554.0664
69	137716.5833
70	137072.9705
71	136308.9622
72	135740.1805
73	135511.2873
74	135124.7474
75	134700.4066
76	134236.074
77	134011.023
78	133845.0862
79	133648.3091
80	133344.7182
81	132462.2025
82	131530.417
83	130897.2171
84	130314.1196
85	129869.8031
86	129553.431
87	128841.5481
88	128157.3912
89	127872.6701
90	127575.5193
91	126723.3123
92	126209.415
93	125673.1574
94	125264.6774
95	124735.1943
96	124471.0702
97	123761.5861
98	123368.983
99	122712.2366
100	121872.6129
101	121475.7103
102	121221.1218
103	120890.7892
104	120407.7067
105	120018.5682
106	119529.2047
107	119037.8878
108	118708.1437
109	118237.5934
110	117890.6992
111	117533.9339
112	116955.0147
113	116670.1221
114	116245.9359
115	115981.8885
116	115765.5003
117	115639.8021
118	115398.2969
119	114807.3421
120	114474.158
121	113940.9816
122	113691.2329
123	113274.8436
124	112934.5496
125	112588.493
126	112272.8806
127	112231.3617
128	112089.1022
129	112024.6445
130	111837.9289
131	111437.943
132	110939.734
133	110660.6148
134	110483.8527
135	110280.579
136	109971.1774
137	109683.7263
138	109474.679
139	109175.7109
140	108810.2318
141	108547.949
142	108280.4924
143	108049.2456
144	107756.2038
145	107411.2478
146	107177.5591
147	106963.8441
148	106735.2737
149	106487.684
150	106326.5427
151	106140.5123
152	105864.2395
153	105576.8856
154	105390.0776
155	105279.6246
156	105086.6562
157	104893.2469
158	104623.1813
159	104435.2183
160	104318.6467
161	104161.9598
162	103861.6108
163	103795.6086
164	103615.6909
165	103431.1143
166	103374.023
167	103134.6724
168	102897.1959
169	102723.1313
170	102593.8953
171	102378.1726
172	102275.1454
173	102037.3424
