iter	Passed	Remaining
0	5	5079
1	9	4690
2	13	4611
3	20	5111
4	25	5010
5	29	4861
6	33	4820
7	38	4777
8	43	4776
9	48	4830
10	54	4913
11	59	4862
12	63	4809
13	67	4784
14	73	4834
15	78	4855
16	83	4822
17	87	4764
18	91	4731
19	96	4716
20	100	4690
21	104	4651
22	108	4627
23	113	4603
24	117	4572
25	121	4544
26	125	4511
27	129	4493
28	133	4468
29	137	4448
30	141	4421
31	143	4343
32	147	4329
33	151	4314
34	155	4285
35	159	4263
36	163	4246
37	167	4234
38	171	4217
39	175	4204
40	178	4172
41	182	4163
42	185	4129
43	189	4106
44	192	4092
45	197	4102
46	201	4091
47	205	4078
48	209	4064
49	213	4055
50	217	4042
51	221	4042
52	225	4036
53	229	4029
54	233	4016
55	239	4031
56	243	4032
57	247	4027
58	251	4017
59	255	4010
60	260	4002
61	265	4020
62	269	4012
63	274	4008
64	277	3996
65	282	3992
66	286	3987
67	290	3979
68	294	3971
69	298	3960
70	302	3958
71	306	3948
72	310	3937
73	313	3926
74	318	3923
75	322	3915
76	326	3910
77	330	3906
78	334	3904
79	339	3902
80	343	3896
81	347	3892
82	351	3887
83	356	3883
84	360	3880
85	364	3876
86	368	3869
87	373	3872
88	377	3866
89	381	3861
90	386	3857
91	390	3852
92	394	3847
93	398	3842
94	402	3837
95	406	3830
96	411	3827
97	415	3822
98	419	3816
99	423	3813
100	428	3810
101	432	3803
102	436	3797
103	440	3791
104	444	3786
105	448	3781
106	452	3778
107	457	3775
108	461	3769
109	465	3769
110	469	3762
111	473	3756
112	478	3752
113	481	3745
114	486	3743
115	490	3738
116	494	3732
117	498	3726
118	502	3719
119	506	3712
120	510	3705
121	513	3697
122	517	3689
123	521	3685
124	525	3679
125	529	3673
126	533	3667
127	537	3662
128	541	3655
129	545	3648
130	548	3641
131	552	3635
132	556	3629
133	560	3624
134	564	3619
135	568	3612
136	572	3605
137	576	3602
138	581	3603
139	585	3597
140	589	3592
141	593	3585
142	597	3580
143	601	3577
144	605	3571
145	609	3566
146	613	3562
147	617	3555
148	621	3549
149	626	3548
150	629	3541
151	633	3535
152	637	3529
153	641	3525
154	645	3520
155	649	3514
156	653	3509
157	657	3505
158	661	3499
159	665	3494
160	669	3490
161	673	3485
162	678	3482
163	682	3477
164	686	3472
165	690	3466
166	694	3462
167	697	3455
168	701	3449
169	705	3444
170	709	3440
171	713	3435
172	717	3429
173	721	3424
174	725	3419
175	729	3414
176	733	3408
177	737	3404
178	741	3399
179	745	3395
180	749	3390
181	753	3385
182	757	3381
183	761	3376
184	764	3369
185	768	3363
186	772	3359
187	776	3355
188	780	3350
189	784	3344
190	788	3340
191	792	3335
192	796	3329
193	799	3323
194	804	3322
195	809	3318
196	813	3314
197	817	3310
198	821	3306
199	825	3302
200	829	3296
201	833	3292
202	837	3289
203	841	3284
204	845	3280
205	850	3277
206	853	3271
207	857	3266
208	861	3261
209	865	3256
210	869	3252
211	873	3246
212	877	3241
213	882	3240
214	885	3234
215	889	3229
216	893	3224
217	898	3221
218	901	3215
219	905	3210
220	909	3205
221	913	3201
222	917	3195
223	921	3190
224	924	3185
225	929	3182
226	933	3177
227	937	3175
228	941	3170
229	945	3166
230	950	3162
231	954	3158
232	958	3153
233	962	3149
234	966	3145
235	969	3139
236	973	3134
237	977	3130
