iter	RMSE
0	506618.591
1	488889.4387
2	472746.4321
3	456060.557
4	441532.1211
5	427226.1409
6	413866.3175
7	400409.0997
8	388274.5211
9	376134.6498
10	365731.0218
11	355173.9988
12	344236.2006
13	333467.2553
14	324919.0154
15	317189.9184
16	309806.0339
17	302850.8474
18	295661.4316
19	288932.3396
20	281880.1944
21	275677.7241
22	270094.6992
23	263926.6552
24	258282.2741
25	252818.2615
26	248893.8657
27	244336.6719
28	239687.2904
29	235550.5372
30	231941.6991
31	228041.5917
32	224840.4225
33	221574.4608
34	218039.9559
35	214740.5131
36	211838.7174
37	208697.0954
38	205395.769
39	202239.2909
40	200013.0188
41	197691.3648
42	195378.6257
43	193461.6377
44	191159.385
45	189846.318
46	188239.5096
47	187731.5681
48	185980.1116
49	184747.957
50	183399.7873
51	182862.5985
52	181694.5997
53	181291.0823
54	179714.2731
55	179461.0355
56	178796.1564
57	177272.6448
58	176408.452
59	174979.4752
60	174638.2284
61	173389.366
62	172633.2252
63	171193.6347
64	170043.1334
65	169583.0873
66	168289.6373
67	167928.0406
68	167633.9994
69	167225.6252
70	167040.9028
71	166266.9506
72	166013.6543
73	165780.8316
74	164752.9759
75	164040.3895
76	163220.1756
77	163059.1586
78	162837.1686
79	161704.4512
80	161504.2016
81	160335.7788
82	159707.0479
83	159565.4495
84	159439.835
85	159168.3342
86	158955.8483
87	158504.4362
88	158391.4812
89	157782.3264
90	157050.5391
91	156046.3788
92	155313.9234
93	154533.0731
94	153963.4527
95	153807.3758
96	153671.7469
97	152938.144
98	152808.7533
99	152523.2266
100	151462.5033
101	151374.0197
102	150702.578
103	150497.9897
104	150363.9611
105	149813.9536
106	149043.7792
107	148470.7028
108	147987.3685
109	147439.7296
110	147035.4475
111	146178.9303
112	145670.3236
113	145513.7206
114	145418.2211
115	145225.4224
116	144741.2962
117	144193.6158
118	143617.8303
119	143459.0694
120	143322.2804
121	142875.2631
122	142667.3775
123	142596.678
124	142179.3563
125	141933.7647
126	141844.3748
127	141150.8174
128	141022.9105
129	140713.7919
130	140212.3577
131	139717.1191
132	139645.5182
133	139132.3348
134	138604.128
135	138552.8912
136	138440.2081
137	137979.2184
138	137819.9626
139	137722.85
140	137370.4285
141	137117.8355
142	136654.2828
143	136568.4232
144	136502.9931
145	136230.4538
146	136025.3803
147	135620.6749
148	134999.4592
149	134378.315
150	134211.1255
151	134159.737
152	133936.966
153	133868.4771
154	133828.9575
155	133504.6695
156	133143.7048
157	132932.6053
158	132865.0391
159	132499.6846
160	132125.1519
161	131879.3653
162	131813.3901
163	131441.6087
164	131227.6584
165	130999.3352
166	130678.133
167	130256.0846
168	129962.2833
169	129640.2861
170	129602.89
171	129371.9078
172	128892.4197
173	128639.0537
174	128511.6599
175	128124.3373
176	127779.4057
177	127692.4388
178	127291.6139
179	127247.943
180	126966.4174
181	126934.3474
182	126660.4709
183	126437.9102
184	126051.1173
185	126013.4919
186	125676.6665
187	125396.264
188	125163.9423
189	125017.0053
190	124993.3354
191	124867.6689
192	124541.8866
193	124337.5284
194	124101.7017
195	123929.8002
196	123639.9624
197	123545.8271
198	123497.5727
199	123249.7558
200	122862.027
201	122839.9996
202	122565.5209
203	122533.8908
204	122176.878
205	121859.6484
206	121826.9539
207	121567.8811
208	121391.4351
209	121363.0518
210	121147.5583
211	120896.0826
212	120653.7531
213	120343.7031
214	120102.5517
215	119837.4976
216	119608.314
217	119389.7197
218	119136.4577
219	118905.382
220	118601.3239
221	118360.2693
222	118201.309
223	118072.4026
224	117865.9899
225	117627.0806
226	117474.0456
227	117292.6377
228	117108.5612
229	116870.4419
230	116598.4372
