iter	Passed	Remaining
0	12	12410
1	16	8389
2	20	6942
3	24	6140
4	28	5676
5	32	5399
6	36	5178
7	40	4993
8	43	4842
9	48	4755
10	52	4707
11	56	4638
12	60	4566
13	64	4522
14	68	4466
15	71	4422
16	75	4368
17	79	4333
18	83	4308
19	87	4271
20	90	4237
21	94	4215
22	98	4196
23	102	4172
24	106	4147
25	110	4132
26	114	4126
27	118	4109
28	122	4089
29	126	4076
30	130	4074
31	134	4061
32	137	4043
33	141	4028
34	145	4022
35	149	4007
36	153	3992
37	157	3986
38	161	3980
39	165	3967
40	169	3954
41	172	3943
42	176	3938
43	180	3930
44	184	3924
45	188	3918
46	192	3910
47	196	3896
48	200	3885
49	204	3879
50	207	3868
51	211	3856
52	215	3843
53	218	3829
54	222	3823
55	225	3799
56	229	3795
57	233	3790
58	237	3784
59	241	3780
60	244	3769
61	248	3760
62	252	3752
63	256	3748
64	268	3869
65	272	3858
66	276	3845
67	279	3836
68	283	3829
69	287	3818
70	290	3806
71	294	3796
72	298	3786
73	302	3779
74	305	3770
75	309	3763
76	313	3753
77	317	3752
78	320	3741
79	324	3734
80	328	3725
81	332	3722
82	336	3714
83	339	3704
84	342	3683
85	346	3678
86	349	3671
87	353	3664
88	355	3640
89	359	3633
90	363	3629
91	367	3624
92	371	3618
93	374	3612
94	378	3609
95	382	3602
96	386	3599
97	390	3596
98	394	3590
99	398	3582
100	401	3577
101	405	3569
102	409	3565
103	413	3559
104	416	3553
105	420	3547
106	424	3543
107	428	3539
108	432	3532
109	435	3525
110	439	3520
111	443	3517
112	447	3511
113	451	3506
114	455	3501
115	459	3501
116	463	3494
117	466	3488
118	470	3482
119	474	3479
120	477	3472
121	481	3466
122	485	3461
123	488	3450
124	492	3445
125	495	3439
126	499	3432
127	503	3428
128	507	3423
129	510	3418
130	514	3412
131	518	3409
132	522	3404
133	526	3399
134	529	3394
135	533	3389
136	537	3384
137	540	3378
138	544	3371
139	548	3368
140	552	3365
141	556	3360
142	559	3354
143	563	3349
144	567	3345
145	571	3340
146	574	3335
147	578	3332
148	583	3329
149	586	3325
150	590	3319
151	594	3315
152	598	3311
153	602	3307
154	605	3301
155	609	3296
156	612	3291
157	617	3288
158	620	3283
159	624	3279
160	628	3275
161	632	3270
162	636	3266
163	640	3263
164	643	3258
165	647	3253
166	651	3249
167	656	3249
168	659	3245
169	663	3240
170	668	3238
171	673	3240
172	677	3238
173	681	3236
174	686	3237
175	691	3235
176	695	3232
177	699	3228
178	703	3228
179	707	3223
180	711	3217
181	714	3211
182	718	3208
183	722	3203
184	725	3198
185	729	3192
186	733	3189
187	737	3185
188	741	3180
189	744	3175
190	748	3170
191	752	3167
192	756	3162
193	760	3158
194	764	3154
195	768	3151
196	772	3146
197	775	3141
198	779	3136
199	783	3133
200	787	3129
201	790	3124
202	794	3120
203	798	3117
204	802	3113
205	806	3109
206	810	3105
207	814	3101
208	818	3096
209	821	3091
210	825	3086
